director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Martin Campbell,Izabella Scorupco,Joe Don Baker,Tchéky Karyo,ActionAdventureThriller,goldeneye,Izabella Scorupco Joe Don Baker Tchéky Karyo Martin Campbell ActionAdventureThriller
Simon West,Daniel von Bargen,Timothy Hutton,Clarence Williams III,DramaMysteryThriller,the general's daughter,Daniel von Bargen Timothy Hutton Clarence Williams III Simon West DramaMysteryThriller
Peter Weir,Natascha McElhone,Noah Emmerich,Peter Krause,ComedyDramaSci-Fi,the truman show,Natascha McElhone Noah Emmerich Peter Krause Peter Weir ComedyDramaSci-Fi
Brenda Chapman,Martin Short,Aria Noelle Curzon,Eden Riegel,AdventureAnimationBiographyDramaFamilyFantasyMusical,the prince of egypt,Martin Short Aria Noelle Curzon Eden Riegel Brenda Chapman AdventureAnimationBiographyDramaFamilyFantasyMusical
Steve Carr,Anjelica Huston,Lisa Edelstein,Jeff Garlin,ComedyFamily,daddy day care,Anjelica Huston Lisa Edelstein Jeff Garlin Steve Carr ComedyFamily
Baltasar Kormákur,Denzel Washington,Patrick Fischler,Fred Ward,ActionComedyCrimeDramaThriller,2 guns,Denzel Washington Patrick Fischler Fred Ward Baltasar Kormákur ActionComedyCrimeDramaThriller
Lawrence Guterman,Carol Ann Susi,Elizabeth Perkins,Miriam Margolyes,ActionComedyFamilyFantasy,cats & dogs,Carol Ann Susi Elizabeth Perkins Miriam Margolyes Lawrence Guterman ActionComedyFamilyFantasy
F. Gary Gray,Jason Statham,Charlize Theron,Jimmy Shubert,ActionCrimeThriller,the italian job,Jason Statham Charlize Theron Jimmy Shubert F. Gary Gray ActionCrimeThriller
Marc Lawrence,Dorian Missick,Alicia Witt,Dana Ivey,ComedyRomance,two weeks notice,Dorian Missick Alicia Witt Dana Ivey Marc Lawrence ComedyRomance
Eric Darnell,Sylvester Stallone,Woody Allen,Anne Bancroft,AdventureAnimationComedyFamily,antz,Sylvester Stallone Woody Allen Anne Bancroft Eric Darnell AdventureAnimationComedyFamily
Peter Billingsley,Jon Favreau,Kristin Davis,Tasha Smith,Comedy,couples retreat,Jon Favreau Kristin Davis Tasha Smith Peter Billingsley Comedy
Tony Scott,Tom Cruise,Robert Duvall,Randy Quaid,ActionDramaSport,days of thunder,Tom Cruise Robert Duvall Randy Quaid Tony Scott ActionDramaSport
Adam Shankman,Taylor Lautner,Tom Welling,Alyson Stoner,AdventureComedyFamily,cheaper by the dozen 2,Taylor Lautner Tom Welling Alyson Stoner Adam Shankman AdventureComedyFamily
Wes Ball,Ki Hong Lee,Lili Taylor,Rosa Salazar,ActionSci-FiThriller,the scorch trials,Ki Hong Lee Lili Taylor Rosa Salazar Wes Ball ActionSci-FiThriller
Ryan Murphy,James Franco,Julia Roberts,Billy Crudup,DramaRomance,eat pray love,James Franco Julia Roberts Billy Crudup Ryan Murphy DramaRomance
Brett Ratner,Nicolas Cage,Don Cheadle,Amber Valletta,ComedyDramaFantasyRomance,the family man,Nicolas Cage Don Cheadle Amber Valletta Brett Ratner ComedyDramaFantasyRomance
Robert Schwentke,Bruce Willis,Morgan Freeman,Jaqueline Fleming,ActionComedyCrimeThriller,red,Bruce Willis Morgan Freeman Jaqueline Fleming Robert Schwentke ActionComedyCrimeThriller
Oliver Stone,Al Pacino,Dennis Quaid,LL Cool J,DramaSport,any given sunday,Al Pacino Dennis Quaid LL Cool J Oliver Stone DramaSport
Robert Redford,Scarlett Johansson,Kristin Scott Thomas,Jessalyn Gilsig,DramaRomanceWestern,the horse whisperer,Scarlett Johansson Kristin Scott Thomas Jessalyn Gilsig Robert Redford DramaRomanceWestern
Michael Mann,Tom Cruise,Jada Pinkett Smith,Debi Mazar,CrimeDramaThriller,collateral,Tom Cruise Jada Pinkett Smith Debi Mazar Michael Mann CrimeDramaThriller
Chuck Russell,Dwayne Johnson,Roger Rees,Bernard Hill,ActionAdventureFantasyThriller,the scorpion king,Dwayne Johnson Roger Rees Bernard Hill Chuck Russell ActionAdventureFantasyThriller
Jay Russell,Billy Burke,Jay Hernandez,Jacinda Barrett,ActionDramaThriller,ladder 49,Billy Burke Jay Hernandez Jacinda Barrett Jay Russell ActionDramaThriller
Renny Harlin,LL Cool J,Michael Rapaport,Saffron Burrows,ActionSci-FiThriller,deep blue sea,LL Cool J Michael Rapaport Saffron Burrows Renny Harlin ActionSci-FiThriller
Kenny Ortega,Misha Gabriel Hamilton,Mekia Cox,Judith Hill,DocumentaryMusic,this is it,Misha Gabriel Hamilton Mekia Cox Judith Hill Kenny Ortega DocumentaryMusic
Steven Soderbergh,Matt Damon,Monique Gabriela Curnen,Griffin Kane,DramaThriller,contagion,Matt Damon Monique Gabriela Curnen Griffin Kane Steven Soderbergh DramaThriller
David McNally,Estella Warren,Dyan Cannon,Bill Hunter,ActionAdventureComedyCrime,kangaroo jack,Estella Warren Dyan Cannon Bill Hunter David McNally ActionAdventureComedyCrime
Henry Selick,Jennifer Saunders,Dawn French,John Hodgman,AnimationFamilyFantasy,coraline,Jennifer Saunders Dawn French John Hodgman Henry Selick AnimationFamilyFantasy
M. Night Shyamalan,Zooey Deschanel,Alan Ruck,Kristen Connolly,Sci-FiThriller,the happening,Zooey Deschanel Alan Ruck Kristen Connolly M. Night Shyamalan Sci-FiThriller
Tony Scott,Denzel Washington,Radha Mitchell,Giancarlo Giannini,ActionCrimeDramaThriller,man on fire,Denzel Washington Radha Mitchell Giancarlo Giannini Tony Scott ActionCrimeDramaThriller
Brian Robbins,Robert Downey Jr.,Joel David Moore,Kristin Davis,ComedyFamilyFantasy,the shaggy dog,Robert Downey Jr. Joel David Moore Kristin Davis Brian Robbins ComedyFamilyFantasy
Todd Phillips,Snoop Dogg,Carmen Electra,Fred Williamson,ComedyCrime,starsky & hutch,Snoop Dogg Carmen Electra Fred Williamson Todd Phillips ComedyCrime
Brian Levant,Jim Belushi,Harvey Korman,Jake Lloyd,ComedyFamily,jingle all the way,Jim Belushi Harvey Korman Jake Lloyd Brian Levant ComedyFamily
Guillermo del Toro,James Babson,Rupert Evans,Brian Steele,ActionFantasyHorrorSci-Fi,hellboy,James Babson Rupert Evans Brian Steele Guillermo del Toro ActionFantasyHorrorSci-Fi
Steven Zaillian,Robert Duvall,Kathleen Quinlan,Sydney Pollack,Drama,a civil action,Robert Duvall Kathleen Quinlan Sydney Pollack Steven Zaillian Drama
Chris Butler,Anna Kendrick,Kodi Smit-McPhee,Elaine Stritch,AdventureAnimationComedyFamilyFantasy,paranorman,Anna Kendrick Kodi Smit-McPhee Elaine Stritch Chris Butler AdventureAnimationComedyFamilyFantasy
Michael Caton-Jones,J.K. Simmons,Bruce Willis,Sophie Okonedo,ActionAdventureCrimeThriller,the jackal,J.K. Simmons Bruce Willis Sophie Okonedo Michael Caton-Jones ActionAdventureCrimeThriller
John Woo,Ivana Milicevic,Joe Morton,Callum Rennie,ActionMysterySci-FiThriller,paycheck,Ivana Milicevic Joe Morton Callum Rennie John Woo ActionMysterySci-FiThriller
Jon Avnet,Joe Mantegna,Stockard Channing,Raymond Cruz,DramaRomance,up close & personal,Joe Mantegna Stockard Channing Raymond Cruz Jon Avnet DramaRomance
Sam Fell,Emma Watson,Matthew Broderick,Frank Langella,AdventureAnimationComedyFamilyFantasy,the tale of despereaux,Emma Watson Matthew Broderick Frank Langella Sam Fell AdventureAnimationComedyFamilyFantasy
unknown,Bianca Kajlich,Oliver Hudson,Adhir Kalyan,ComedyRomance,rules of engagement            ,Bianca Kajlich Oliver Hudson Adhir Kalyan unknown ComedyRomance
Kevin Donovan,Romany Malco,Debi Mazar,Ritchie Coster,ActionComedySci-Fi,the tuxedo,Romany Malco Debi Mazar Ritchie Coster Kevin Donovan ActionComedySci-Fi
Geoff Murphy,Peter Greene,Brenda Bakke,Patrick Kilpatrick,ActionThriller,under siege 2: dark territory,Peter Greene Brenda Bakke Patrick Kilpatrick Geoff Murphy ActionThriller
Kenneth Branagh,Colm Feore,Nonso Anozie,Gemma Chan,ActionDramaThriller,jack ryan: shadow recruit,Colm Feore Nonso Anozie Gemma Chan Kenneth Branagh ActionDramaThriller
David O. Russell,Jennifer Lawrence,Robert De Niro,Bradley Cooper,BiographyComedyDrama,joy,Jennifer Lawrence Robert De Niro Bradley Cooper David O. Russell BiographyComedyDrama
Babak Najafi,Gerard Butler,Radha Mitchell,Julian Kostov,ActionCrimeDramaThriller,london has fallen,Gerard Butler Radha Mitchell Julian Kostov Babak Najafi ActionCrimeDramaThriller
Jean-Pierre Jeunet,Gary Dourdan,Michael Wincott,Raymond Cruz,ActionHorrorSci-Fi,alien: resurrection,Gary Dourdan Michael Wincott Raymond Cruz Jean-Pierre Jeunet ActionHorrorSci-Fi
Antoine Fuqua,Tate Donovan,Ned Beatty,Louis Ferreira,ActionCrimeDramaMysteryThriller,shooter,Tate Donovan Ned Beatty Louis Ferreira Antoine Fuqua ActionCrimeDramaMysteryThriller
Graham Annable,Isaac Hempstead Wright,Dee Bradley Baker,Tracy Morgan,AdventureAnimationComedyFamilyFantasy,the boxtrolls,Isaac Hempstead Wright Dee Bradley Baker Tracy Morgan Graham Annable AdventureAnimationComedyFamilyFantasy
Griffin Dunne,Goran Visnjic,Dianne Wiest,Stockard Channing,ComedyDramaFantasyRomance,practical magic,Goran Visnjic Dianne Wiest Stockard Channing Griffin Dunne ComedyDramaFantasyRomance
Phil Lord,Morgan Freeman,Will Ferrell,Alison Brie,ActionAdventureAnimationComedyFamilyFantasy,the lego movie,Morgan Freeman Will Ferrell Alison Brie Phil Lord ActionAdventureAnimationComedyFamilyFantasy
John Pasquin,Eileen Brennan,Diedrich Bader,Treat Williams,ActionComedyCrime,miss congeniality 2: armed and fabulous,Eileen Brennan Diedrich Bader Treat Williams John Pasquin ActionComedyCrime
Rob Bowman,Christian Bale,Gerard Butler,Matthew McConaughey,ActionAdventureFantasySci-FiThriller,reign of fire,Christian Bale Gerard Butler Matthew McConaughey Rob Bowman ActionAdventureFantasySci-FiThriller
Ruben Fleischer,Ryan Gosling,Brandon Molale,Wade Williams,ActionCrimeDramaThriller,gangster squad,Ryan Gosling Brandon Molale Wade Williams Ruben Fleischer ActionCrimeDramaThriller
Harold Ramis,Olivia Wilde,Oliver Platt,Xander Berkeley,AdventureComedy,year one,Olivia Wilde Oliver Platt Xander Berkeley Harold Ramis AdventureComedy
Clint Eastwood,Matt Damon,Morgan Freeman,Leleti Khumalo,BiographyDramaHistorySport,invictus,Matt Damon Morgan Freeman Leleti Khumalo Clint Eastwood BiographyDramaHistorySport
Kevin Macdonald,Robin Wright,Harry Lennix,Michael Weston,CrimeDramaMysteryThriller,state of play,Robin Wright Harry Lennix Michael Weston Kevin Macdonald CrimeDramaMysteryThriller
Tony Gilroy,Julia Roberts,Tom Wilkinson,Denis O'Hare,ComedyCrimeRomanceThriller,duplicity,Julia Roberts Tom Wilkinson Denis O'Hare Tony Gilroy ComedyCrimeRomanceThriller
Donald Petrie,Steven Anthony Lawrence,Ray Walston,Michael Lerner,ComedyFamilySci-Fi,my favorite martian,Steven Anthony Lawrence Ray Walston Michael Lerner Donald Petrie ComedyFamilySci-Fi
Clark Johnson,Blair Brown,David Rasche,Martin Donovan,ActionCrimeThriller,the sentinel,Blair Brown David Rasche Martin Donovan Clark Johnson ActionCrimeThriller
Jorge Blanco,Dwayne Johnson,Gary Oldman,James Corden,AdventureAnimationComedyFamilySci-Fi,planet 51,Dwayne Johnson Gary Oldman James Corden Jorge Blanco AdventureAnimationComedyFamilySci-Fi
Stuart Baird,Tom Hardy,LeVar Burton,Jonathan Frakes,ActionAdventureSci-FiThriller,star trek: nemesis,Tom Hardy LeVar Burton Jonathan Frakes Stuart Baird ActionAdventureSci-FiThriller
Joel Coen,Cedric the Entertainer,Paul Adelstein,Julia Duffy,ComedyCrimeRomance,intolerable cruelty,Cedric the Entertainer Paul Adelstein Julia Duffy Joel Coen ComedyCrimeRomance
Robert Lorenz,Clint Eastwood,Ed Lauter,Bob Gunton,DramaSport,trouble with the curve,Clint Eastwood Ed Lauter Bob Gunton Robert Lorenz DramaSport
Martin Campbell,Bojana Novakovic,Ray Winstone,Denis O'Hare,CrimeDramaMysteryThriller,edge of darkness,Bojana Novakovic Ray Winstone Denis O'Hare Martin Campbell CrimeDramaMysteryThriller
Peter Hyams,John Kapelos,Penelope Ann Miller,Chi Muoi Lo,HorrorMysterySci-FiThriller,the relic,John Kapelos Penelope Ann Miller Chi Muoi Lo Peter Hyams HorrorMysterySci-FiThriller
Harold Ramis,Robert De Niro,Cathy Moriarty,Joe Viterelli,ComedyCrime,analyze that,Robert De Niro Cathy Moriarty Joe Viterelli Harold Ramis ComedyCrime
Jon Avnet,Robert De Niro,Al Pacino,50 Cent,ActionCrimeDramaMysteryThriller,righteous kill,Robert De Niro Al Pacino 50 Cent Jon Avnet ActionCrimeDramaMysteryThriller
Joe Wright,Robert Downey Jr.,Stephen Root,Rachael Harris,BiographyDramaMusic,the soloist,Robert Downey Jr. Stephen Root Rachael Harris Joe Wright BiographyDramaMusic
Robert Redford,Matt Damon,Will Smith,Charlize Theron,DramaFantasySport,the legend of bagger vance,Matt Damon Will Smith Charlize Theron Robert Redford DramaFantasySport
Cameron Crowe,Philip Seymour Hoffman,Zooey Deschanel,Michael Angarano,AdventureComedyDramaMusic,almost famous,Philip Seymour Hoffman Zooey Deschanel Michael Angarano Cameron Crowe AdventureComedyDramaMusic
Tim Hill,Bill Murray,Roger Rees,Ben Falcone,AnimationComedyFamilyFantasy,garfield 2,Bill Murray Roger Rees Ben Falcone Tim Hill AnimationComedyFamilyFantasy
Lee Tamahori,Sunny Mabrey,Nona Gaye,Xzibit,ActionAdventureCrimeThriller,xxx: state of the union,Sunny Mabrey Nona Gaye Xzibit Lee Tamahori ActionAdventureCrimeThriller
Scott Stewart,Josh Wingate,Alan Dale,Jacob Hopkins,ActionFantasyHorrorSci-FiThriller,priest,Josh Wingate Alan Dale Jacob Hopkins Scott Stewart ActionFantasyHorrorSci-FiThriller
Patrick Gilmore,Brad Pitt,Adriano Giannini,Timothy West,AdventureAnimationComedyDramaFamilyFantasyRomance,sinbad: legend of the seven seas,Brad Pitt Adriano Giannini Timothy West Patrick Gilmore AdventureAnimationComedyDramaFamilyFantasyRomance
Paul W.S. Anderson,Sean Pertwee,Joely Richardson,Kathleen Quinlan,HorrorSci-FiThriller,event horizon,Sean Pertwee Joely Richardson Kathleen Quinlan Paul W.S. Anderson HorrorSci-FiThriller
Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,ActionAdventureSci-Fi,the avengers,Chris Hemsworth Robert Downey Jr. Scarlett Johansson Joss Whedon ActionAdventureSci-Fi
Tom Shadyac,Joe Morton,Susanna Thompson,Matt Craven,DramaFantasyMysteryRomanceThriller,dragonfly,Joe Morton Susanna Thompson Matt Craven Tom Shadyac DramaFantasyMysteryRomanceThriller
Brian De Palma,Scarlett Johansson,Mia Kirshner,Mike Starr,CrimeDramaMysteryThriller,the black dahlia,Scarlett Johansson Mia Kirshner Mike Starr Brian De Palma CrimeDramaMysteryThriller
Tony Bill,James Franco,Tyler Labine,Philip Winchester,ActionAdventureDramaHistoryRomanceWar,flyboys,James Franco Tyler Labine Philip Winchester Tony Bill ActionAdventureDramaHistoryRomanceWar
Rod Lurie,Clifton Collins Jr.,Delroy Lindo,Michael Irby,ActionDramaThriller,the last castle,Clifton Collins Jr. Delroy Lindo Michael Irby Rod Lurie ActionDramaThriller
Walter Hill,Robert Forster,Wilson Cruz,Vanessa Marshall,HorrorSci-FiThriller,supernova,Robert Forster Wilson Cruz Vanessa Marshall Walter Hill HorrorSci-FiThriller
Akiva Goldsman,Matt Bomer,William Hurt,Kevin Corrigan,DramaFantasyMysteryRomance,winter's tale,Matt Bomer William Hurt Kevin Corrigan Akiva Goldsman DramaFantasyMysteryRomance
Harald Zwart,Aidan Turner,Kevin Zegers,CCH Pounder,FantasyHorrorMysteryRomance,the mortal instruments: city of bones,Aidan Turner Kevin Zegers CCH Pounder Harald Zwart FantasyHorrorMysteryRomance
Brian Robbins,Marc Blucas,Mike O'Malley,Shawn Christian,AdventureComedyFamilyRomanceSci-Fi,meet dave,Marc Blucas Mike O'Malley Shawn Christian Brian Robbins AdventureComedyFamilyRomanceSci-Fi
Walter Salles,Dougray Scott,Camryn Manheim,Ariel Gade,DramaHorrorThriller,dark water,Dougray Scott Camryn Manheim Ariel Gade Walter Salles DramaHorrorThriller
Ron Howard,Matthew McConaughey,Adam Goldberg,Clint Howard,ComedyDrama,edtv,Matthew McConaughey Adam Goldberg Clint Howard Ron Howard ComedyDrama
Iain Softley,Brendan Fraser,Stephen Graham,Jamie Foreman,AdventureFamilyFantasy,inkheart,Brendan Fraser Stephen Graham Jamie Foreman Iain Softley AdventureFamilyFantasy
Frank Miller,Scarlett Johansson,Jaime King,Louis Lombardi,ActionCrimeFantasyThriller,the spirit,Scarlett Johansson Jaime King Louis Lombardi Frank Miller ActionCrimeFantasyThriller
David Koepp,Johnny Depp,Olivia Munn,Ulrich Thomsen,ActionComedyMysteryRomance,mortdecai,Johnny Depp Olivia Munn Ulrich Thomsen David Koepp ActionComedyMysteryRomance
Uwe Boll,Jason Statham,Mike Dopud,Tania Saulnier,ActionAdventureFantasyThriller,in the name of the king: a dungeon siege tale,Jason Statham Mike Dopud Tania Saulnier Uwe Boll ActionAdventureFantasyThriller
Martin Campbell,Angelina Jolie Pitt,Teri Polo,Noah Emmerich,AdventureDramaRomanceWar,beyond borders,Angelina Jolie Pitt Teri Polo Noah Emmerich Martin Campbell AdventureDramaRomanceWar
Pou-Soi Cheang,Li Gong,Aaron Kwok,Eddie Peng,ActionAdventureFantasy,xi you ji zhi: sun wukong san da baigu jing,Li Gong Aaron Kwok Eddie Peng Pou-Soi Cheang ActionAdventureFantasy
John Dahl,James Franco,Clayne Crawford,Paolo Montalban,ActionDramaWar,the great raid,James Franco Clayne Crawford Paolo Montalban John Dahl ActionDramaWar
Tim Miller,Ryan Reynolds,Ed Skrein,Stefan Kapicic,ActionAdventureComedyRomanceSci-Fi,deadpool,Ryan Reynolds Ed Skrein Stefan Kapicic Tim Miller ActionAdventureComedyRomanceSci-Fi
Stephen Herek,Kelly Preston,Morgan Fairchild,Eric McCormack,ComedyDrama,holy man,Kelly Preston Morgan Fairchild Eric McCormack Stephen Herek ComedyDrama
Clint Eastwood,Bradley Cooper,Leonard Roberts,Keir O'Donnell,ActionBiographyDramaHistoryThrillerWar,american sniper,Bradley Cooper Leonard Roberts Keir O'Donnell Clint Eastwood ActionBiographyDramaHistoryThrillerWar
unknown,Nate Richert,Soleil Moon Frye,Caroline Rhea,ComedyFamilyFantasy,"sabrina, the teenage witch            ",Nate Richert Soleil Moon Frye Caroline Rhea unknown ComedyFamilyFantasy
Mark Waters,Jon Heder,Ivana Milicevic,Willie Garson,ComedyFantasyRomance,just like heaven,Jon Heder Ivana Milicevic Willie Garson Mark Waters ComedyFantasyRomance
Brian Levant,Taylor Negron,Mark Addy,Danny Woodburn,ComedyFamilyRomanceSci-Fi,the flintstones in viva rock vegas,Taylor Negron Mark Addy Danny Woodburn Brian Levant ComedyFamilyRomanceSci-Fi
Peter MacDonald,Sylvester Stallone,Kurtwood Smith,Richard Crenna,ActionAdventureThrillerWar,rambo iii,Sylvester Stallone Kurtwood Smith Richard Crenna Peter MacDonald ActionAdventureThrillerWar
George Clooney,Robert Baker,Malcolm Goodwin,Matt Bushell,ComedyDramaRomanceSport,leatherheads,Robert Baker Malcolm Goodwin Matt Bushell George Clooney ComedyDramaRomanceSport
Frank Coraci,Taylor Lautner,Adam Sandler,Jon Lovitz,ComedyWestern,the ridiculous 6,Taylor Lautner Adam Sandler Jon Lovitz Frank Coraci ComedyWestern
Marc Lawrence,Michael Kelly,Kim Shaw,Kevin Brown,ComedyDramaRomance,did you hear about the morgans?,Michael Kelly Kim Shaw Kevin Brown Marc Lawrence ComedyDramaRomance
Shawn Levy,Josh Gad,Jessica Szohr,Rob Riggle,Comedy,the internship,Josh Gad Jessica Szohr Rob Riggle Shawn Levy Comedy
Paul W.S. Anderson,Milla Jovovich,Boris Kodjoe,Shawn Roberts,ActionAdventureHorrorSci-Fi,resident evil: afterlife,Milla Jovovich Boris Kodjoe Shawn Roberts Paul W.S. Anderson ActionAdventureHorrorSci-Fi
Anthony Hemingway,David Oyelowo,Nate Parker,Tristan Mack Wilds,ActionAdventureDramaHistoryWar,red tails,David Oyelowo Nate Parker Tristan Mack Wilds Anthony Hemingway ActionAdventureDramaHistoryWar
unknown,Chris Noth,Kristin Davis,Cynthia Nixon,ComedyRomance,sex and the city            ,Chris Noth Kristin Davis Cynthia Nixon unknown ComedyRomance
Taylor Hackford,Keanu Reeves,Al Pacino,Charlize Theron,DramaMysteryThriller,the devil's advocate,Keanu Reeves Al Pacino Charlize Theron Taylor Hackford DramaMysteryThriller
Sean Anders,Adam Sandler,Leighton Meester,Will Forte,Comedy,that's my boy,Adam Sandler Leighton Meester Will Forte Sean Anders Comedy
Rob Cohen,Dennis Quaid,Brian Thompson,Terry O'Neill,ActionAdventureFantasy,dragonheart,Dennis Quaid Brian Thompson Terry O'Neill Rob Cohen ActionAdventureFantasy
Brett Ratner,Salma Hayek,Don Cheadle,Chris Penn,ActionComedyCrimeDrama,after the sunset,Salma Hayek Don Cheadle Chris Penn Brett Ratner ActionComedyCrimeDrama
Mark Neveldine,Nicolas Cage,Spencer Wilding,Christopher Lambert,ActionFantasyThriller,ghost rider: spirit of vengeance,Nicolas Cage Spencer Wilding Christopher Lambert Mark Neveldine ActionFantasyThriller
John Madden,Christian Bale,Irene Papas,Mihalis Giannatos,DramaMusicRomanceWar,captain corelli's mandolin,Christian Bale Irene Papas Mihalis Giannatos John Madden DramaMusicRomanceWar
unknown,Barry Corbin,Noureen DeWulf,Brian Austin Green,ComedyRomance,anger management            ,Barry Corbin Noureen DeWulf Brian Austin Green unknown ComedyRomance
Adam Shankman,Vin Diesel,Brad Garrett,Tate Donovan,ActionComedyDramaFamilyThriller,the pacifier,Vin Diesel Brad Garrett Tate Donovan Adam Shankman ActionComedyDramaFamilyThriller
Kevin Bray,Dwayne Johnson,Ashley Scott,Michael Bowen,ActionCrime,walking tall,Dwayne Johnson Ashley Scott Michael Bowen Kevin Bray ActionCrime
Robert Zemeckis,Tom Hanks,Siobhan Fallon Hogan,Sam Anderson,ComedyDrama,forrest gump,Tom Hanks Siobhan Fallon Hogan Sam Anderson Robert Zemeckis ComedyDrama
Tim Hill,Jesse McCartney,Beth Riesgraf,Matthew Gray Gubler,AnimationComedyFamilyFantasyMusic,alvin and the chipmunks,Jesse McCartney Beth Riesgraf Matthew Gray Gubler Tim Hill AnimationComedyFamilyFantasyMusic
Jay Roach,Robert De Niro,Blythe Danner,Teri Polo,Comedy,meet the parents,Robert De Niro Blythe Danner Teri Polo Jay Roach Comedy
Mike Gabriel,Christian Bale,Frank Welker,Irene Bedard,AdventureAnimationDramaFamilyHistoryMusicalRomance,pocahontas,Christian Bale Frank Welker Irene Bedard Mike Gabriel AdventureAnimationDramaFamilyHistoryMusicalRomance
Richard Donner,Marlon Brando,Margot Kidder,Ned Beatty,ActionAdventureDramaRomanceSci-Fi,superman,Marlon Brando Margot Kidder Ned Beatty Richard Donner ActionAdventureDramaRomanceSci-Fi
Tom Shadyac,Jada Pinkett Smith,James Coburn,Dave Chappelle,ComedyRomanceSci-Fi,the nutty professor,Jada Pinkett Smith James Coburn Dave Chappelle Tom Shadyac ComedyRomanceSci-Fi
Andy Tennant,Will Smith,Michael Rapaport,Kevin Sussman,ComedyRomance,hitch,Will Smith Michael Rapaport Kevin Sussman Andy Tennant ComedyRomance
Sam Weisman,Brendan Fraser,Abraham Benrubi,Holland Taylor,ActionAdventureComedyFamilyRomance,george of the jungle,Brendan Fraser Abraham Benrubi Holland Taylor Sam Weisman ActionAdventureComedyFamilyRomance
Jesse Dylan,Alyson Hannigan,Thomas Ian Nicholas,Fred Willard,ComedyRomance,american wedding,Alyson Hannigan Thomas Ian Nicholas Fred Willard Jesse Dylan ComedyRomance
Paul Greengrass,Tom Hanks,Chris Mulkey,Michael Chernus,BiographyDramaThriller,captain phillips,Tom Hanks Chris Mulkey Michael Chernus Paul Greengrass BiographyDramaThriller
Shawn Levy,Mila Kunis,James Franco,Steve Carell,ComedyCrimeRomanceThriller,date night,Mila Kunis James Franco Steve Carell Shawn Levy ComedyCrimeRomanceThriller
Brad Silberling,Eric Idle,Fred Rogers,Cathy Moriarty,ComedyFamilyFantasy,casper,Eric Idle Fred Rogers Cathy Moriarty Brad Silberling ComedyFamilyFantasy
Antoine Fuqua,Denzel Washington,Chloë Grace Moretz,James Wilcox,ActionCrimeThriller,the equalizer,Denzel Washington Chloë Grace Moretz James Wilcox Antoine Fuqua ActionCrimeThriller
Wayne Wang,Bob Hoskins,Frances Conroy,Natasha Richardson,ComedyDramaRomance,maid in manhattan,Bob Hoskins Frances Conroy Natasha Richardson Wayne Wang ComedyDramaRomance
Tony Scott,Denzel Washington,Viggo Mortensen,Ricky Schroder,ActionDramaThrillerWar,crimson tide,Denzel Washington Viggo Mortensen Ricky Schroder Tony Scott ActionDramaThrillerWar
Gabriele Muccino,Will Smith,Kurt Fuller,James Karen,BiographyDrama,the pursuit of happyness,Will Smith Kurt Fuller James Karen Gabriele Muccino BiographyDrama
Robert Schwentke,Erika Christensen,Michael Irby,Haley Ramm,DramaMysteryThriller,flightplan,Erika Christensen Michael Irby Haley Ramm Robert Schwentke DramaMysteryThriller
Barry Levinson,Demi Moore,Dylan Baker,Roma Maffia,DramaThriller,disclosure,Demi Moore Dylan Baker Roma Maffia Barry Levinson DramaThriller
Brad Silberling,Nicolas Cage,Andre Braugher,Colm Feore,DramaFantasyRomance,city of angels,Nicolas Cage Andre Braugher Colm Feore Brad Silberling DramaFantasyRomance
Quentin Tarantino,David Carradine,Vivica A. Fox,Chiaki Kuriyama,Action,kill bill: vol. 1,David Carradine Vivica A. Fox Chiaki Kuriyama Quentin Tarantino Action
Frank Oz,Robert Downey Jr.,Adam Alexi-Malle,Jamie Kennedy,Comedy,bowfinger,Robert Downey Jr. Adam Alexi-Malle Jamie Kennedy Frank Oz Comedy
unknown,Christopher Judge,Don S. Davis,Gary Jones,ActionAdventureDramaSci-Fi,stargate sg-1            ,Christopher Judge Don S. Davis Gary Jones unknown ActionAdventureDramaSci-Fi
Quentin Tarantino,Vivica A. Fox,Michael Parks,Michael Bowen,ActionCrimeDramaThriller,kill bill: vol. 2,Vivica A. Fox Michael Parks Michael Bowen Quentin Tarantino ActionCrimeDramaThriller
Andrey Konchalovskiy,Sylvester Stallone,Jack Palance,Brion James,ActionComedyCrimeThriller,tango & cash,Sylvester Stallone Jack Palance Brion James Andrey Konchalovskiy ActionComedyCrimeThriller
Robert Zemeckis,Bruce Willis,Meryl Streep,Isabella Rossellini,ComedyFantasyHorror,death becomes her,Bruce Willis Meryl Streep Isabella Rossellini Robert Zemeckis ComedyFantasyHorror
Tom Dey,Xander Berkeley,Jason Connery,Kate Luyben,ActionAdventureComedyWestern,shanghai noon,Xander Berkeley Jason Connery Kate Luyben Tom Dey ActionAdventureComedyWestern
Stuart Baird,Oliver Platt,Joe Morton,J.T. Walsh,ActionAdventureThriller,executive decision,Oliver Platt Joe Morton J.T. Walsh Stuart Baird ActionAdventureThriller
Mark Waters,Madeline Carroll,Ophelia Lovibond,Philip Baker Hall,ComedyFamilyFantasy,mr. popper's penguins,Madeline Carroll Ophelia Lovibond Philip Baker Hall Mark Waters ComedyFamilyFantasy
Rob Minkoff,Jet Li,Thomas McDonell,Michael Angarano,ActionAdventureFantasy,the forbidden kingdom,Jet Li Thomas McDonell Michael Angarano Rob Minkoff ActionAdventureFantasy
