director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Rod Lurie,Clifton Collins Jr.,Delroy Lindo,Michael Irby,ActionDramaThriller,the last castle
Walter Hill,Robert Forster,Wilson Cruz,Vanessa Marshall,HorrorSci-FiThriller,supernova
Akiva Goldsman,Matt Bomer,William Hurt,Kevin Corrigan,DramaFantasyMysteryRomance,winter's tale
Harald Zwart,Aidan Turner,Kevin Zegers,CCH Pounder,FantasyHorrorMysteryRomance,the mortal instruments: city of bones
Brian Robbins,Marc Blucas,Mike O'Malley,Shawn Christian,AdventureComedyFamilyRomanceSci-Fi,meet dave
Walter Salles,Dougray Scott,Camryn Manheim,Ariel Gade,DramaHorrorThriller,dark water
Ron Howard,Matthew McConaughey,Adam Goldberg,Clint Howard,ComedyDrama,edtv
Iain Softley,Brendan Fraser,Stephen Graham,Jamie Foreman,AdventureFamilyFantasy,inkheart
Frank Miller,Scarlett Johansson,Jaime King,Louis Lombardi,ActionCrimeFantasyThriller,the spirit
David Koepp,Johnny Depp,Olivia Munn,Ulrich Thomsen,ActionComedyMysteryRomance,mortdecai
Uwe Boll,Jason Statham,Mike Dopud,Tania Saulnier,ActionAdventureFantasyThriller,in the name of the king: a dungeon siege tale
Martin Campbell,Angelina Jolie Pitt,Teri Polo,Noah Emmerich,AdventureDramaRomanceWar,beyond borders
Pou-Soi Cheang,Li Gong,Aaron Kwok,Eddie Peng,ActionAdventureFantasy,xi you ji zhi: sun wukong san da baigu jing
John Dahl,James Franco,Clayne Crawford,Paolo Montalban,ActionDramaWar,the great raid
Tim Miller,Ryan Reynolds,Ed Skrein,Stefan Kapicic,ActionAdventureComedyRomanceSci-Fi,deadpool
Stephen Herek,Kelly Preston,Morgan Fairchild,Eric McCormack,ComedyDrama,holy man
Clint Eastwood,Bradley Cooper,Leonard Roberts,Keir O'Donnell,ActionBiographyDramaHistoryThrillerWar,american sniper
Rob Letterman,Odeya Rush,Dylan Minnette,Ken Marino,AdventureComedyFamilyFantasyHorror,goosebumps
unknown,Nate Richert,Soleil Moon Frye,Caroline Rhea,ComedyFamilyFantasy,"sabrina, the teenage witch            "
Mark Waters,Jon Heder,Ivana Milicevic,Willie Garson,ComedyFantasyRomance,just like heaven
Brian Levant,Taylor Negron,Mark Addy,Danny Woodburn,ComedyFamilyRomanceSci-Fi,the flintstones in viva rock vegas
Peter MacDonald,Sylvester Stallone,Kurtwood Smith,Richard Crenna,ActionAdventureThrillerWar,rambo iii
George Clooney,Robert Baker,Malcolm Goodwin,Matt Bushell,ComedyDramaRomanceSport,leatherheads
Frank Coraci,Taylor Lautner,Adam Sandler,Jon Lovitz,ComedyWestern,the ridiculous 6
Marc Lawrence,Michael Kelly,Kim Shaw,Kevin Brown,ComedyDramaRomance,did you hear about the morgans?
Shawn Levy,Josh Gad,Jessica Szohr,Rob Riggle,Comedy,the internship
Paul W.S. Anderson,Milla Jovovich,Boris Kodjoe,Shawn Roberts,ActionAdventureHorrorSci-Fi,resident evil: afterlife
Anthony Hemingway,David Oyelowo,Nate Parker,Tristan Mack Wilds,ActionAdventureDramaHistoryWar,red tails
unknown,Chris Noth,Kristin Davis,Cynthia Nixon,ComedyRomance,sex and the city            
Taylor Hackford,Keanu Reeves,Al Pacino,Charlize Theron,DramaMysteryThriller,the devil's advocate
Sean Anders,Adam Sandler,Leighton Meester,Will Forte,Comedy,that's my boy
Rob Cohen,Dennis Quaid,Brian Thompson,Terry O'Neill,ActionAdventureFantasy,dragonheart
Brett Ratner,Salma Hayek,Don Cheadle,Chris Penn,ActionComedyCrimeDrama,after the sunset
Mark Neveldine,Nicolas Cage,Spencer Wilding,Christopher Lambert,ActionFantasyThriller,ghost rider: spirit of vengeance
John Madden,Christian Bale,Irene Papas,Mihalis Giannatos,DramaMusicRomanceWar,captain corelli's mandolin
unknown,Barry Corbin,Noureen DeWulf,Brian Austin Green,ComedyRomance,anger management            
Adam Shankman,Vin Diesel,Brad Garrett,Tate Donovan,ActionComedyDramaFamilyThriller,the pacifier
Kevin Bray,Dwayne Johnson,Ashley Scott,Michael Bowen,ActionCrime,walking tall
Robert Zemeckis,Tom Hanks,Siobhan Fallon Hogan,Sam Anderson,ComedyDrama,forrest gump
Tim Hill,Jesse McCartney,Beth Riesgraf,Matthew Gray Gubler,AnimationComedyFamilyFantasyMusic,alvin and the chipmunks
Jay Roach,Robert De Niro,Blythe Danner,Teri Polo,Comedy,meet the parents
Mike Gabriel,Christian Bale,Frank Welker,Irene Bedard,AdventureAnimationDramaFamilyHistoryMusicalRomance,pocahontas
Richard Donner,Marlon Brando,Margot Kidder,Ned Beatty,ActionAdventureDramaRomanceSci-Fi,superman
Tom Shadyac,Jada Pinkett Smith,James Coburn,Dave Chappelle,ComedyRomanceSci-Fi,the nutty professor
Andy Tennant,Will Smith,Michael Rapaport,Kevin Sussman,ComedyRomance,hitch
Sam Weisman,Brendan Fraser,Abraham Benrubi,Holland Taylor,ActionAdventureComedyFamilyRomance,george of the jungle
Jesse Dylan,Alyson Hannigan,Thomas Ian Nicholas,Fred Willard,ComedyRomance,american wedding
Paul Greengrass,Tom Hanks,Chris Mulkey,Michael Chernus,BiographyDramaThriller,captain phillips
Shawn Levy,Mila Kunis,James Franco,Steve Carell,ComedyCrimeRomanceThriller,date night
Brad Silberling,Eric Idle,Fred Rogers,Cathy Moriarty,ComedyFamilyFantasy,casper
Antoine Fuqua,Denzel Washington,Chloë Grace Moretz,James Wilcox,ActionCrimeThriller,the equalizer
Wayne Wang,Bob Hoskins,Frances Conroy,Natasha Richardson,ComedyDramaRomance,maid in manhattan
Tony Scott,Denzel Washington,Viggo Mortensen,Ricky Schroder,ActionDramaThrillerWar,crimson tide
Gabriele Muccino,Will Smith,Kurt Fuller,James Karen,BiographyDrama,the pursuit of happyness
Robert Schwentke,Erika Christensen,Michael Irby,Haley Ramm,DramaMysteryThriller,flightplan
Barry Levinson,Demi Moore,Dylan Baker,Roma Maffia,DramaThriller,disclosure
Brad Silberling,Nicolas Cage,Andre Braugher,Colm Feore,DramaFantasyRomance,city of angels
Quentin Tarantino,David Carradine,Vivica A. Fox,Chiaki Kuriyama,Action,kill bill: vol. 1
Frank Oz,Robert Downey Jr.,Adam Alexi-Malle,Jamie Kennedy,Comedy,bowfinger
unknown,Christopher Judge,Don S. Davis,Gary Jones,ActionAdventureDramaSci-Fi,stargate sg-1            
Quentin Tarantino,Vivica A. Fox,Michael Parks,Michael Bowen,ActionCrimeDramaThriller,kill bill: vol. 2
Andrey Konchalovskiy,Sylvester Stallone,Jack Palance,Brion James,ActionComedyCrimeThriller,tango & cash
Robert Zemeckis,Bruce Willis,Meryl Streep,Isabella Rossellini,ComedyFantasyHorror,death becomes her
Tom Dey,Xander Berkeley,Jason Connery,Kate Luyben,ActionAdventureComedyWestern,shanghai noon
Stuart Baird,Oliver Platt,Joe Morton,J.T. Walsh,ActionAdventureThriller,executive decision
Mark Waters,Madeline Carroll,Ophelia Lovibond,Philip Baker Hall,ComedyFamilyFantasy,mr. popper's penguins
Rob Minkoff,Jet Li,Thomas McDonell,Michael Angarano,ActionAdventureFantasy,the forbidden kingdom
Jimmy Hayward,Amy Poehler,Carlos Ponce,Dan Fogler,AdventureAnimationComedyFamily,free birds
David Fincher,Charles S. Dutton,Holt McCallany,Paul McGann,ActionHorrorSci-Fi,alien 3
Alan Parker,Andrea Corr,Jimmy Nail,Peter Polycarpou,BiographyDramaHistoryMusical,evita
John Frankenheimer,Robert De Niro,Natascha McElhone,Michael Lonsdale,ActionAdventureCrimeThriller,ronin
Stephen Hopkins,Tom Wilkinson,Bernard Hill,Om Puri,AdventureDramaHorrorThriller,the ghost and the darkness
Paul King,Julie Walters,Matt Lucas,Sally Hawkins,AnimationComedyFamilyFantasy,paddington
Akiva Schaffer,Will Forte,Nicholas Braun,Rosemarie DeWitt,ActionComedySci-Fi,the watch
William Friedkin,Connie Nielsen,Jenna Boyd,Rex Linn,ActionCrimeDramaThriller,the hunted
Jon Turteltaub,Anthony Hopkins,Maura Tierney,John Ashton,DramaThriller,instinct
Bobby Farrelly,Matt Damon,Terence Bernie Hines,Seymour Cassel,Comedy,stuck on you
Kent Alterman,Will Ferrell,Maura Tierney,Matt Walsh,ComedySport,semi-pro
Peter Lord,Salma Hayek,Russell Tovey,Brian Blessed,AdventureAnimationComedyFamily,the pirates! band of misfits
Clint Eastwood,Angelina Jolie Pitt,Michael Kelly,Colm Feore,CrimeDramaMysteryThriller,changeling
Andrew Davis,Keanu Reeves,Morgan Freeman,Kevin Dunn,ActionDramaSci-FiThriller,chain reaction
Tony Scott,Robert De Niro,Kurt Fuller,Ellen Barkin,ActionDramaSportThriller,the fan
Joel Schumacher,Gerard Butler,Minnie Driver,Miranda Richardson,DramaMusicalRomanceThriller,the phantom of the opera
Shekhar Kapur,Eddie Redmayne,Abbie Cornish,Jordi Mollà,BiographyDramaHistoryWar,elizabeth: the golden age
Karyn Kusama,Charlize Theron,Sophie Okonedo,Paterson Joseph,ActionSci-Fi,æon flux
Ron Maxwell,Billy Campbell,Bruce Boxleitner,John Castle,DramaHistoryWar,gods and generals
Robert Butler,Hector Elizondo,Lauren Holly,Jeffrey DeMunn,ActionThriller,turbulence
Karey Kirkpatrick,Stephen Root,Ronny Cox,Richard Schiff,ComedyDramaFamilyFantasy,imagine that
James Bobin,Ty Burrell,Tina Fey,Hugh Bonneville,AdventureComedyCrimeFamilyMusical,muppets most wanted
Jonathan Frakes,Sophia Myles,Philip Winchester,Brady Corbet,ActionAdventureComedyFamilySci-Fi,thunderbirds
Steve Antin,Eric Dane,Peter Gallagher,David Walton,DramaMusicMusicalRomance,burlesque
Jean-Pierre Jeunet,Denis Lavant,André Dussollier,Albert Dupontel,DramaMysteryRomanceWar,a very long engagement
Stanley Kubrick,James Mason,Shelley Winters,Lois Maxwell,CrimeDramaRomance,lolita
Jim Gillespie,Sylvester Stallone,Tom Berenger,Charles S. Dutton,CrimeHorrorMysteryThriller,eye see you
Guillermo del Toro,Norman Reedus,Thomas Kretschmann,Tony Curran,ActionHorrorSci-FiThriller,blade ii
Gabriele Muccino,Will Smith,Rosario Dawson,Madison Pettis,DramaRomance,seven pounds
Walter Hill,Sylvester Stallone,Jason Momoa,Jon Seda,ActionThriller,bullet to the head
Francis Ford Coppola,Al Pacino,Joe Mantegna,Bridget Fonda,CrimeDrama,the godfather: part iii
Cameron Crowe,Orlando Bloom,Kirsten Dunst,Judy Greer,ComedyDramaRomance,elizabethtown
Anthony Russo,Todd Stashwick,Billy Gardell,Amanda Detmer,ComedyRomance,"you, me and dupree"
Richard Lester,Margot Kidder,Ned Beatty,Jackie Cooper,ActionAdventureRomanceSci-Fi,superman ii
Martin Brest,Todd Giebenhain,Lenny Venito,David Backus,ComedyCrimeRomance,gigli
Steven Zaillian,Kate Winslet,Anthony Hopkins,Kevin Dunn,DramaThriller,all the king's men
John Singleton,Christian Bale,Vanessa Williams,Daniel von Bargen,ActionCrimeThriller,shaft
Don Bluth,Kirsten Dunst,Kelsey Grammer,Bernadette Peters,AdventureAnimationDramaFamilyFantasyMusicalMysteryRomance,anastasia
Baz Luhrmann,Jim Broadbent,Kylie Minogue,Richard Roxburgh,DramaMusicalRomance,moulin rouge!
Harold Becker,Steve Buscemi,Teri Polo,Matt O'Leary,CrimeMysteryThriller,domestic disturbance
Scott Cooper,Johnny Depp,Benedict Cumberbatch,Adam Scott,BiographyCrimeDrama,black mass
Clint Eastwood,Paul Walker,Chris Bauer,Tom McCarthy,DramaHistoryWar,flags of our fathers
F. Gary Gray,Gerard Butler,Leslie Bibb,Michael Kelly,CrimeDramaThriller,law abiding citizen
Robert Rodriguez,Quentin Tarantino,Rosario Dawson,Zoë Bell,ActionHorrorThriller,grindhouse
Jonathan Demme,Oprah Winfrey,Kimberly Elise,Hill Harper,DramaHistoryHorror,beloved
Curtis Hanson,Robert Downey Jr.,Robert Duvall,Kelvin Han Yee,DramaRomanceSport,lucky you
Steven Spielberg,Leonardo DiCaprio,Tom Hanks,Jennifer Garner,BiographyCrimeDrama,catch me if you can
Kathryn Bigelow,Jennifer Ehle,Harold Perrineau,Parker Sawyers,DramaHistoryThriller,zero dark thirty
Peyton Reed,Jon Favreau,John Michael Higgins,Ann-Margret,ComedyDramaRomance,the break-up
Phyllida Lloyd,Colin Firth,Meryl Streep,Julie Walters,ComedyFamilyMusicalRomance,mamma mia!
Garry Marshall,Bradley Cooper,Taylor Lautner,Anne Hathaway,ComedyRomance,valentine's day
Jay Chandrasekhar,Alice Greczyn,Jessica Simpson,Michael Weston,ActionAdventureComedy,the dukes of hazzard
Terrence Malick,Nick Stahl,Miranda Otto,Dash Mihok,DramaWar,the thin red line
David Dobkin,Ryan Reynolds,Olivia Wilde,Mircea Monroe,ComedyFantasy,the change-up
Milos Forman,Matt Price,Gerry Becker,Tom Dreesen,BiographyComedyDrama,man on the moon
Martin Scorsese,Robert De Niro,Don Rickles,Kevin Pollak,BiographyCrimeDrama,casino
Pierre Morel,Kasia Smutniak,Amber Rose Revah,Rebecca Dayan,ActionThriller,from paris with love
Paul Hunter,Jaime King,Mako,Victoria Smurfit,ActionComedyFantasy,bulletproof monk
Bobby Farrelly,Robert Forster,Tony Cox,Rob Moran,Comedy,"me, myself & irene"
Steve Oedekerk,Rob Paulsen,Wanda Sykes,Maurice LaMarche,AnimationComedyFamily,barnyard
John Whitesell,Matthew Broderick,Jorge Garcia,Alia Shawkat,ComedyFamily,deck the halls
Chris Weitz,Robert Pattinson,Kristen Stewart,Taylor Lautner,AdventureDramaFantasyRomance,the twilight saga: new moon
Andrew Adamson,Kathleen Freeman,Chris Miller,Bobby Block,AdventureAnimationComedyFamilyFantasy,shrek
George Nolfi,Matt Damon,Michael Kelly,Jon Stewart,RomanceSci-FiThriller,the adjustment bureau
Kevin Reynolds,Alan Rickman,Morgan Freeman,Michael Wincott,ActionAdventureDramaRomance,robin hood: prince of thieves
Cameron Crowe,Tom Cruise,Kelly Preston,Bonnie Hunt,ComedyDramaRomanceSport,jerry maguire
Seth MacFarlane,Mila Kunis,Seth MacFarlane,Tom Skerritt,ComedyFantasy,ted
James L. Brooks,Lupe Ontiveros,Yeardley Smith,Shirley Knight,ComedyDramaRomance,as good as it gets
Tom Shadyac,Robin Williams,Philip Seymour Hoffman,Monica Potter,BiographyComedyDramaRomance,patch adams
Adam McKay,Harrison Ford,Will Ferrell,Steve Carell,Comedy,anchorman 2: the legend continues
Steven Brill,Steve Buscemi,Adam Sandler,Peter Gallagher,ComedyRomance,mr. deeds
J.J. Abrams,Joel Courtney,AJ Michalka,Zach Mills,MysterySci-FiThriller,super 8
Steven Soderbergh,Julia Roberts,Albert Finney,Conchata Ferrell,BiographyDrama,erin brockovich
Donald Petrie,Matthew McConaughey,Adam Goldberg,Thomas Lennon,ComedyRomance,how to lose a guy in 10 days
Phil Lord,Channing Tatum,Craig Roberts,Amber Stevens West,ActionComedyCrime,22 jump street
Neil Jordan,Brad Pitt,Tom Cruise,Kirsten Dunst,DramaFantasyHorror,interview with the vampire: the vampire chronicles
Peyton Reed,Bradley Cooper,Zooey Deschanel,Danny Masterson,ComedyRomance,yes man
Rawson Marshall Thurber,Dwayne Johnson,Thomas Kretschmann,Megan Park,ActionComedyCrime,central intelligence
Chris Columbus,Julia Roberts,Liam Aiken,Herbert Russell,ComedyDrama,stepmom
Sean Anders,Will Ferrell,Linda Cardellini,Mark L. Young,ComedyFamily,daddy's home
Rob Marshall,Johnny Depp,Meryl Streep,Anna Kendrick,AdventureComedyDramaFantasyMusical,into the woods
Spike Lee,Denzel Washington,James Ransone,Peter Gerety,CrimeDramaMysteryThriller,inside man
Brian Helgeland,Bill Duke,Deborah Kara Unger,William Devane,ActionCrimeDramaThriller,payback
Frank Marshall,Dylan Walsh,Joe Don Baker,Grant Heslov,ActionAdventureMysterySci-Fi,congo
Cameron Crowe,Scarlett Johansson,Matt Damon,Stephanie Szostak,ComedyDramaFamily,we bought a zoo
Alex Proyas,Nicolas Cage,Ben Mendelsohn,Chandler Canterbury,DramaMysterySci-FiThriller,knowing
Tom Dey,Bradley Cooper,Matthew McConaughey,Zooey Deschanel,ComedyRomance,failure to launch
Hideo Nakata,Naomi Watts,Gary Cole,Sissy Spacek,HorrorMystery,the ring two
Glenn Ficarra,Ryan Gosling,Emma Stone,Steve Carell,ComedyDramaRomance,"crazy, stupid, love."
Peter Hewitt,Bill Murray,Mark Christopher Lawrence,Michael Monks,AnimationComedyFamilyFantasy,garfield
Joe Roth,Jamie Lee Curtis,Cheech Marin,Jake Busey,ComedyFamily,christmas with the kranks
Bennett Miller,Philip Seymour Hoffman,Robin Wright,Brad Pitt,BiographyDramaSport,moneyball
Wolfgang Petersen,Kevin Spacey,Morgan Freeman,Rene Russo,ActionDramaThriller,outbreak
Jaume Collet-Serra,Liam Neeson,Nate Parker,Scoot McNairy,ActionMysteryThriller,non-stop
Andy Fickman,Dwayne Johnson,Billy Brown,Tom Everett Scott,ActionAdventureFamilyFantasySci-FiThriller,race to witch mountain
James McTeigue,Natalie Portman,Eddie Marsan,Rupert Graves,ActionDramaThriller,v for vendetta
David Dobkin,Fann Wong,Anna-Louise Plowman,Georgina Chapman,ActionAdventureComedy,shanghai knights
unknown,Bernard Hill,Gemma Jones,Nicola Walker,CrimeDrama,unforgotten            
Matthew O'Callaghan,Will Ferrell,Frank Welker,Alexander Gould,AdventureAnimationComedyFamily,curious george
Angela Robinson,Scoot McNairy,Thomas Lennon,Cheryl Hines,AdventureComedyFamilyFantasyRomanceSport,herbie fully loaded
Gary Fleder,Oliver Platt,Jennifer Esposito,Conrad Goode,CrimeDramaMysteryThriller,don't say a word
Tommy Wirkola,Jeremy Renner,Derek Mears,Ingrid Bolsø Berdal,ActionFantasyHorror,hansel & gretel: witch hunters
Adrian Lyne,Olivier Martinez,Erik Per Sullivan,Chad Lowe,DramaThriller,unfaithful
D.J. Caruso,Alex Pettyfer,Emily Wickersham,Reuben Langdon,ActionAdventureSci-FiThriller,i am number four
Stephen Gaghan,Matt Damon,Amr Waked,Kayvan Novak,DramaThriller,syriana
Michael Bay,Toby Stephens,James Badge Dale,David Costabile,ActionDramaThrillerWar,13 hours
Jorge R. Gutiérrez,Channing Tatum,Hector Elizondo,Ana de la Reguera,AdventureAnimationComedyFamilyFantasyRomance,the book of life
Richard Loncraine,Jimmy Bennett,Harrison Ford,Mary Lynn Rajskub,CrimeThriller,firewall
Clint Eastwood,Clint Eastwood,Mark Margolis,Scott Glenn,ActionCrimeDramaThriller,absolute power
Ridley Scott,Viggo Mortensen,Demi Moore,John Michael Higgins,ActionDramaWar,g.i. jane
David Fincher,Deborah Kara Unger,Armin Mueller-Stahl,Charles Martinet,DramaMysteryThriller,the game
Christophe Gans,Radha Mitchell,Deborah Kara Unger,Alice Krige,AdventureHorrorMystery,silent hill
Howard Deutch,Keanu Reeves,Jon Favreau,Faizon Love,ComedySport,the replacements
Jon Hurwitz,Alyson Hannigan,Dania Ramirez,Natasha Lyonne,Comedy,american reunion
F. Gary Gray,Kevin Spacey,Michael Cudlitz,Siobhan Fallon Hogan,ActionCrimeDramaMysteryThriller,the negotiator
Steven Quale,Matt Walsh,Alycia Debnam-Carey,Scott Lawrence,ActionThriller,into the storm
John Landis,Louis Lombardi,Jon Tenney,Gilbert R. Hill,ActionComedyCrimeThriller,beverly hills cop iii
Joe Dante,Christopher Lee,Robert Picardo,Phoebe Cates,ComedyFantasyHorror,gremlins 2: the new batch
David Dobkin,Robert Downey Jr.,Robert Duvall,Leighton Meester,CrimeDrama,the judge
Mimi Leder,Armin Mueller-Stahl,Holt McCallany,Marcel Iures,ActionThriller,the peacemaker
Alexander Witt,Milla Jovovich,Thomas Kretschmann,Mike Epps,ActionHorrorSci-FiThriller,resident evil: apocalypse
Beeban Kidron,Colin Firth,Jim Broadbent,Celia Imrie,ComedyDramaRomance,bridget jones: the edge of reason
Carl Franklin,Denzel Washington,Sanaa Lathan,John Billingsley,CrimeDramaRomanceThriller,out of time
Steven Seagal,Mike Starr,Joan Chen,Sven-Ole Thorsen,ActionAdventureThriller,on deadly ground
Robert Rodriguez,Taylor Lautner,Kristin Davis,Taylor Dooley,ActionAdventureFamilyFantasy,the adventures of sharkboy and lavagirl 3-d
Danny Boyle,Leonardo DiCaprio,Virginie Ledoyen,Peter Youngblood Hills,AdventureDramaThriller,the beach
Garry Marshall,Amber Valletta,Felicity Huffman,Spencer Breslin,ComedyDramaRomance,raising helen
James McTeigue,Shô Kosugi,Ben Miles,Rain,ActionCrimeThriller,ninja assassin
Sam Raimi,J.K. Simmons,Kelly Preston,Carmine Giovinazzo,DramaRomanceSport,for love of the game
unknown,David Jason,Bruce Alexander,John Lyons,CrimeDramaMystery,a touch of frost            
Andrew Bergman,Demi Moore,Rumer Willis,Paul Guilfoyle,ComedyCrimeDramaThriller,striptease
Tom Dey,Emma Stone,Judy Greer,Steve Coogan,ComedyFamily,marmaduke
Clint Eastwood,Matt Damon,Jay Mohr,Cécile De France,DramaFantasy,hereafter
Barbet Schroeder,Ryan Gosling,Chris Penn,Agnes Bruckner,CrimeMysteryThriller,murder by numbers
Richard Donner,Muse Watson,Sylvester Stallone,Kelly Rowan,ActionCrimeThriller,assassins
Peter Webber,Li Gong,Stephen Walters,Richard Brake,CrimeDramaThriller,hannibal rising
Rob Reiner,Bruce Willis,Tim Matheson,Rita Wilson,ComedyDramaRomance,the story of us
Andrew Niccol,J.D. Evermore,Chandler Canterbury,Rachel Roberts,ActionAdventureRomanceSci-FiThriller,the host
John McTiernan,Connie Nielsen,Harry Connick Jr.,Tim Daly,ActionCrimeDramaMysteryThriller,basic
Clint Eastwood,Clint Eastwood,Anjelica Huston,Rick Hoffman,ActionCrimeDramaMysteryThriller,blood work
Tom Tykwer,Naomi Watts,Brían F. O'Byrne,Armin Mueller-Stahl,ActionCrimeDramaMysteryThriller,the international
John Carpenter,Steve Buscemi,Valeria Golino,Michelle Forbes,ActionAdventureSci-FiThriller,escape from l.a.
unknown,Grey Damon,Brittany Curran,Aaron Hill,DramaMysteryThriller,twisted            
Brad Bird,Vin Diesel,Harry Connick Jr.,M. Emmet Walsh,ActionAdventureAnimationComedyDramaFamilySci-Fi,the iron giant
Wes Anderson,Bill Murray,Anjelica Huston,Matthew Gray Gubler,AdventureComedyDrama,the life aquatic with steve zissou
Gary Ross,Matthew McConaughey,Donald Watkins,Jessica Collins,ActionBiographyDramaHistoryWar,free state of jones
Alan Parker,Kevin Spacey,Kate Winslet,Matt Craven,CrimeDramaThriller,the life of david gale
Stephen Herek,Christina Milian,Vanessa Ferlito,Kelli Garner,ActionComedy,man of the house
Jaume Collet-Serra,Liam Neeson,Common,Bruce McGill,ActionCrimeDramaThriller,run all night
David Cronenberg,Viggo Mortensen,Naomi Watts,Raza Jaffrey,CrimeMysteryThriller,eastern promises
John Stockwell,Paul Walker,James Frain,Ashley Scott,ActionAdventureCrimeThriller,into the blue
Luc Besson,Paul Brooke,David Bailie,Rab Affleck,AdventureBiographyDramaHistoryWar,the messenger: the story of joan of arc
David Gordon Green,Natalie Portman,Zooey Deschanel,James Franco,AdventureComedyFantasy,your highness
Jim Sheridan,Naomi Watts,Gregory Smith,Sarah Gadon,DramaMysteryThriller,dream house
Costa-Gavras,Mia Kirshner,Blythe Danner,William Atherton,CrimeDramaThriller,mad city
Patrick Read Johnson,Joe Mantegna,Lara Flynn Boyle,Cynthia Nixon,AdventureComedyCrimeDramaFamily,baby's day out
Roland Joffé,Gary Oldman,Robert Duvall,Demi Moore,DramaRomance,the scarlet letter
Doug Liman,Naomi Watts,Ty Burrell,Brooke Smith,BiographyDramaThriller,fair game
unknown,Julie Benz,Tony Curran,Grant Bowler,ActionDramaSci-Fi,defiance            
Tony Scott,Ian Ziering,Mo'Nique,Edgar Ramírez,ActionBiographyCrimeDramaThriller,domino
William Friedkin,Michael Biehn,Chazz Palminteri,Linda Fiorentino,CrimeDramaThriller,jade
Mark Neveldine,Gerard Butler,Logan Lerman,Alison Lohman,ActionSci-FiThriller,gamer
Richard LaGravenese,Alden Ehrenreich,Zoey Deutch,Pruitt Taylor Vince,DramaFantasyRomance,beautiful creatures
Danny DeVito,Robin Williams,Vincent Schiavelli,Danny Woodburn,ComedyCrimeDramaThriller,death to smoochy
Ben Stiller,Milla Jovovich,Will Ferrell,Justin Theroux,Comedy,zoolander 2
George Armitage,Morgan Freeman,Andrew Wilson,Willie Nelson,ComedyCrime,the big bounce
Mike Nichols,Judy Greer,Linda Fiorentino,Garry Shandling,ComedySci-Fi,what planet are you from?
Patrick Lussier,Nicolas Cage,Billy Burke,Katy Mixon,ActionFantasyThriller,drive angry
Andrzej Bartkowiak,Chris Klein,Robin Shou,Josie Ho,ActionCrimeDramaMysteryThriller,street fighter: the legend of chun-li
James Wong,Jason Statham,Jet Li,Delroy Lindo,ActionSci-FiThriller,the one
unknown,Tobias Menzies,Graham McTavish,Stephen Walters,DramaRomanceSci-Fi,outlander            
Renny Harlin,Lauren Holly,Gilbert Gottfried,David Patrick Kelly,ActionAdventureComedyCrimeMusicMystery,the adventures of ford fairlane
Richard Curtis,Philip Seymour Hoffman,Charlie Rowe,Tom Sturridge,ComedyDramaMusic,pirate radio
Steven Soderbergh,Michael O'Neill,Jacob Vargas,James Lew,CrimeDramaThriller,traffic
Steven Spielberg,Harrison Ford,Julian Glover,Alison Doody,ActionAdventureFantasy,indiana jones and the last crusade
Joe Wright,Kelly Macdonald,Guro Nagelhus Schia,Matthew Macfadyen,DramaRomance,anna karenina
Neill Blomkamp,Hugh Jackman,Sharlto Copley,Jose Pablo Cantillo,ActionCrimeDramaSci-FiThriller,chappie
Phillip Noyce,Denzel Washington,Angelina Jolie Pitt,Leland Orser,CrimeDramaMysteryThriller,the bone collector
David Fincher,Kristen Stewart,Dwight Yoakam,Mel Rodriguez,CrimeDramaThriller,panic room
Chuck Bowman,P.J. Soles,Lochlyn Munro,Steve Bacic,HorrorThriller,the tooth fairy
David O. Russell,Judy Greer,Jamie Kennedy,Mykelti Williamson,ActionAdventureComedyDramaWar,three kings
Daniel Espinosa,Tom Hardy,Fares Fares,Michael Nardone,CrimeDramaThriller,child 44
Jerry Zucker,Corinna Harney,Douglas Haase,Vince Vieluf,AdventureComedy,rat race
Iain Softley,Kevin Spacey,Jeff Bridges,Alfre Woodard,DramaMysterySci-Fi,k-pax
James Mangold,Hugh Jackman,Natasha Lyonne,Bradley Whitford,ComedyFantasyRomance,kate & leopold
Harold Ramis,Brendan Fraser,Frances O'Connor,Brian Doyle-Murray,ComedyFantasyRomance,bedazzled
Francis Ford Coppola,Nicolas Cage,Bob Hoskins,Fred Gwynne,CrimeDramaMusic,the cotton club
James Mangold,Christian Bale,Logan Lerman,Gretchen Mol,AdventureCrimeDramaWestern,3:10 to yuma
Olivier Megaton,Liam Neeson,Dougray Scott,Jon Gries,ActionThriller,taken 3
Steven Soderbergh,Don Cheadle,Albert Brooks,Keith Hudson,CrimeDramaRomanceThriller,out of sight
Ben Stiller,Matthew Broderick,Janeane Garofalo,Andy Dick,ComedyDramaThriller,the cable guy
Deepa Mehta,Nandita Das,Gulshan Grover,Eric Peterson,DramaRomanceWar,earth
Warren Beatty,Charlie Korsmo,Warren Beatty,Seymour Cassel,ActionComedyCrimeMusicRomanceThriller,dick tracy
John McTiernan,Mark Margolis,Faye Dunaway,Denis Leary,CrimeRomanceThriller,the thomas crown affair
Penny Marshall,Rosie Perez,Adam Garcia,Alissa Dean,BiographyComedyDrama,riding in cars with boys
Ted Kotcheff,Sylvester Stallone,Brian Dennehy,Chris Mulkey,ActionAdventureDrama,first blood
Andrei Tarkovsky,Donatas Banionis,Anatoliy Solonitsyn,Natalya Bondarchuk,DramaMysterySci-Fi,solaris
